ID type Epsilon x y z
1 3 10 -1.13616602364 -3.5391898403 11.52241344043
2 4 10 -3.41826707337 -1.79851796962 11.96039270487
3 5 10 -0.573905117438 -3.79075369466 14.14053467401
4 6 10 -1.02185609528 -1.88580903333 9.62368034535
5 7 10 -3.44974873757 -1.26697338896 14.57924414809
6 8 10 1.71314655495 -3.5659608565 12.409193727889999
7 9 10 -2.96464080191 0.374144690744 10.34087971952
8 10 10 -0.843708459612 -2.16215204562 16.2577990372
9 11 10 1.63412051209 -1.57296017268 9.70523954632
10 12 10 -3.76108342641 1.21858313223 13.607706022230001
11 13 10 2.38271126815 -2.62371565638 14.8544010265
12 14 10 -0.618658978196 1.20344704195 9.23582993398
13 15 10 -1.79230409032 0.388109096326 16.5548582781
14 16 10 3.54213858781 -1.28747289717 11.65997471524
15 17 10 -2.49224128773 2.90944249511 11.84940114228
16 18 10 1.67277661637 -0.610031550491 16.581854254299998
17 19 10 2.0443223458 1.36958727132 9.84643426377
18 20 10 -1.80561053471 2.77485534789 15.24498293873
19 21 10 3.85163941558 -0.107537665833 14.07392246591
20 22 10 0.0183741432473 3.53213678762 11.122855332050001
21 23 10 0.924729158542 1.94992572362 16.36788741732
22 24 10 3.38343320044 1.93609166165 12.103379201740001
23 25 10 0.201692492239 3.92188480409 13.76035499739
24 26 10 2.62148611239 2.5586811235 14.60653710532
